Id,TIPO_PLACA,ANIO_DE_FABRICACION,CILINDRADA,CANTIDAD_DE_CILINDROS,CANTIDAD_DE_PUERTAS,VALOR_DEL_VEHICULO,COLORES,FECHA_DE_IMPORTACION,IMP_VALOR_DEL_VEHICULO,FECHA_DE_INGRESO,ANIO_INGRESO,MES_INGRESO,CLASE,PERTENENCIA,MARCA,MODELO,CAPACIDAD,COMBUSTIBLE,ADUANA,CONDICION_INGRESO,PROPIETARIO_DEPARTAMENTO,PROPIETARIO_MUNICIPIO,ESTADO
88878,PARTICULAR,1979,0,0,0,0,AZUL C/ FJAS,,0,25/11/1988,1988,11,MICROBUS,PROPIEDAD,TOYOTA,N/D,12,GASOLINA,,VEHICULO USADO,SAN SALVADOR,CIUDAD DELGADO,BAJA
88879,PARTICULAR,2014,2500,4,4,24946.62,GRIS,27/11/2013,24946.62,10/12/2013,2013,12,MICROBUS,PLAZOS,NISSAN,URVAN DX,15,DIESEL,AGDOSA - APOPA,VEHICULO NUEVO,LA LIBERTAD,SANTA TECLA,ALTA
88880,PARTICULAR,2006,2000,4,4,4525.61,VERDE,27/9/2013,4525.61,10/12/2013,2013,12,AUTOMOVIL,PROPIEDAD,KIA,SPORTAGE LX,5,GASOLINA,TRANSAUTO S.A. DE C.V.,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,ALTA
88881,PARTICULAR,2012,2400,4,4,4940.39,GRIS,17/10/2013,4940.39,10/12/2013,2013,12,AUTOMOVIL,PROPIEDAD,JEEP,COMPASS,5,GASOLINA,ALMACENADORA NEJAPA, S.A DE C.V,VEHICULO USADO,LA LIBERTAD,SANTA TECLA,ALTA
88882,PARTICULAR,2010,1800,4,4,2361.7,GRIS,21/6/2013,2361.7,10/12/2013,2013,12,AUTOMOVIL,PROPIEDAD,HONDA,CIVIC,5,GASOLINA,AGDOSA - APOPA,VEHICULO USADO,SAN SALVADOR,MEJICANOS,BAJA
88883,PARTICULAR,1981,0,0,0,0,BLANCO,,0,8/12/1988,1988,12,PICK UP,PROPIEDAD,CHEVROLET,N/D,1.5,DIESEL,,VEHICULO USADO,SAN SALVADOR,APOPA,ALTA
88884,PARTICULAR,1981,0,0,0,0,BLANCO,,0,8/12/1988,1988,12,AUTOMOVIL,PROPIEDAD,DAIHATSU,JEEP,6,DIESEL,,VEHICULO USADO,SAN SALVADOR,PANCHIMALCO,BAJA
88885,PARTICULAR,1988,1800,0,0,0,BEIGEMETALICODORADOCRE,,0,9/2/1989,1989,2,AUTOMOVIL,PROPIEDAD,NISSAN,VANETTE,8,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SOYAPANGO,ALTA
88886,PARTICULAR,1988,0,0,0,0,ROJO,,0,12/9/1989,1989,9,MICROBUS,PLAZOS,NISSAN,VANETTE,8,GASOLINA,,VEHICULO USADO,LA LIBERTAD,SANTA TECLA,BAJA
88887,PARTICULAR,1988,1800,0,0,0,BEIGE GRIS,,0,8/12/1988,1988,12,MICROBUS,PROPIEDAD,NISSAN,VANETTE,8,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,ALTA
